nome_organizacao,descricao_organizacao,segmento_atuacao,tecnologias_disruptivas
IConnectPet,"Empresa de telemetria animal que oferece informações qualificadas e personalizadas de acordo com o cenário da empresa, apoiamos o monitoramento e gatilhos de prevenção da qualidade de vida e bem estar animal. Nossos foco é em empresas de escola pet a criadores de animais de grande porte e valor agregado, empresas que trabalham com animais oficiais, resgate, segurança patrimonial.","Agronegócio, Gestão de negócios, Governo, Pets","Big Data, IOT (Internet das Coisas)"
Economarket ,"Plataforma de intermediação de vendas e conexão entre lojista e o cliente do ramo varejista de alimentos. A solução reúne de forma fácil e intuitiva a possibilidade de acesso a preços e produtos de diversos comerciantes de uma mesma localidade pré definida pelo usuário, o recebimento de forma simples e completa de orçamentos e comparativos de economia, dando destaque aos alimentos e produtos próximos ao vencimento e por fim, a oportunidade de realização da compra. Como resultado da proposta  nossa solução recebeu o prêmio de  1º lugar do programa de Pre Aceleração de Startups de Nova Lima em parceria com o Inovatech do 2º semestre de 2023.  Atualmente estamos na fase de Aceleração do mesmo programa, otimizando e aprimorando nossos processos e MVP. ","Alimentos, Logística, Sustentabilidade, Varejo, Vendas","IOT (Internet das Coisas), Machine Learning"
Covalub Ltda,"Fundada em 1996, a Covalub iniciou suas operações nos fundos de um Posto de Combustíveis e hoje distribui seus produtos para mais de 200 municípios brasileiros.",Serviços e Comércio,
P. SEVERINI NETTO COMERCIAL LTDA,"A mais de 95 anos no mercado atacadista, garantindo apoio com agilidade, eficiência e eficácia nos negócios nacionais e internacionais. Todas as atividades são efetuadas com planejamento, organização, direção e controle.
Nossa missão é atender, servir com inspiração e inovação os clientes, fornecedores e colaboradores.",Serviços e Comércio,
Repcarros ,A Repcarros é uma sistema de gestão de oficinas automotivas que simplifica processos entregando economia e comodidade. Entregamos essa comodidade para os donos de oficinas e motoristas por meio de uma plataforma focada em experiência e comunicação assertiva.,Automóveis,Nenhuma
Rotulus,Somos uma empresa voltada para a atuação em psicologia criminal ,Direito,API
Ai Robots Inteligencia Artificial Ltda,"Na Ai Robots atuamos com soluções de tecnologia como inteligência artificial, visão computacional, termografia para mitigar riscos de acidentes, gerar maior eficiência e contribuir com as jornadas ESG e SDG dos nossos parceiros e clientes. Exemplos de cases: 1) Usiminas - aplicação de solução preditiva com câmeras termográficas para inspeção preditiva e mitigar riscos de rompimento das carcaças na aciaria; 2) Novo Nordisk - aplicação de soluções de EHS e Economia Circular com o foco em redução da geração de resíduos, maior segurança e produtividade; 3) Suzano - desenvolvemos robô móvel customizado para abertura e fechamento de vagões, reduzindo a intervenção humana, mitigando riscos de ergonomia, acidentes e otimizando a logística de celulose; 4) Ambev - aplicação de monitoramento e gestão preditiva de célula robotizada, aumentando a segurança da aplicação e otimizando a manutenção preditiva. Linkedin: https://www.linkedin.com/company/airobots/","Agronegócio, Alimentos, Automóveis, Indústria 4.0, Logística, Segurança, Sustentabilidade, Tecnologia da informação","Big Data, Deep Learning, Machine Learning"
VIDA VEG S/A,"Objetivo: contribuir para um mundo melhor , facilitando o acesso a alimentos de base vegetal gostosos e saudáveis.
Estamos presente em mais de 5 mil pontos de vendas espalhados pelo Brasil",Alimentos e Bebidas,
Good Drinks,"A Good Drinks é uma empresa de bebidas funcionais. Nosso objetivo é inserir bebidas mais saudáveis e inovadoras nesse mercado ainda tão conservador no Brasil.
No momento estamos em fase se prototipação da nossa primeira bebida.",Alimentos,IOT (Internet das Coisas)
Mel Flores,"A Mel Flores é uma floricultura online. Nossas flores são cuidadosamente selecionadas e nossos floristas e parceiros são treinados para preparar e entregar buquês com alta durabilidade e beleza. Temos rosas, lírios, tulipas, astromélias, orquídeas, além de diversas outras flores, para todas as ocasiões.
Nossa loja conta com atendimento online, onde você pode procurar ajuda para tirar eventuais dúvidas durante a compra. Para acessá-lo basta clicar na janela verde na parte inferior no canto direito da tela. Comprar na Mel Flores é garantia de qualidade e satisfação.",Tecnologia da informação,
