nome_organizacao,descricao_organizacao,categoria_organizacao,segmento_atuacao,tecnologias_disruptivas,fase_negocio,papel_no_ecossistema,M1_Agro,M2_Saude,M3_Infra_Mobilidade,M4_Transformacao_Digital,M5_Bioeconomia_Energia,M6_Defesa_Soberania,missoes_finais,cadastro_aprovado,autorizacao_divulgacao,cidade_sede,uf_sede,logo_url,site_organizacao,email_contato,fase_investimento_busca,incentivos_fiscais_municipio,orgao_responsavel_cti,tipo_organizacao,contato_divulgacao_cientifica,possui_nit,areas_expertise,tese_investimento,num_startups_investidas,programas_desenvolvimento,modelo_negocio,segmentacao_clientes,numero_funcionarios,fase_investimento_captada,busca_investimento,linkedin_url,preferencia_segmento,beneficios_programa,investimento_medio_startup,exige_equity
Thronus Group LTDA,"Somos uma biofarmacêutica canadense, líder mundial na produção e desenvolvimento de produtos inovadores de cannabis medicinal. A Thronus nasceu a partir dos estudos de sua fundadora Dra Mariana Maciel, médica brasileira residente no Canadá, e seus questionamentos em relação à baixa biodisponibilidade de óleos canabinóides. Juntamente com uma equipe especializada internacional desenvolveram pesquisas e aplicações que deram origem a uma NOVA e MAIS EFICIENTE categoria de produtos: BISALIV.

Estamos presentes nos EUA, Europa e América Latina, como também em centros de pesquisas. No Brasil, pacientes adquirem nossos produtos em conformidade com as normativas da Anvisa.
Nossa equipe de médicos, farmacêuticos e profissionais experientes na indústria farmacêutica compreendem a real necessidade de médicos e pacientes para garantir que a segurança seja preservada.

Nossa equipe adicional altamente qualificada assegura que o cultivo e o processamento obedeçam às boas práticas de fabricação para a produção de produtos farmacêuticos de altíssima qualidade que são certificados por laboratórios acreditados.

No Brasil, a Thronus é PIONEIRA e LÍDER no fornecimento de sistemas inovadores de administração de canabinóides capazes de otimizar o tratamento com dosagens menores e resultados superiores.",Empresa de Base Tecnológica (EBT),Saúde,Nanotecnologia,"Tração (Início da consolidação e repetição de processos para áreas da EBT, como vendas, marketing, recursos humanos, sucesso do cliente etc)",Executores Diretos das Missões,0,1,0,0,0,0,M2 Saude,Sim,Sim,Paraopeba,MG,https://i.postimg.cc/g0zZXjt8/Whats-App-Image-2025-02-19-at-09-14-28.jpg,https://thronusmedical.com,drmarianamaciel@gmail.com,Series A (Investimento total de 2 milhões a 7 milhões de reais), , , , , , , , ,Nenhum,Fabricante (fabrica produtos acabados a partir de matérias-primas. Pode vender diretamente aos clientes ou vendê-lo a um intermediário),"B2B (empresa para empresa), B2C (empresa para consumidor), B2B2C (empresa para empresa para o consumidor - quando há primeiramente uma relação de venda entre empresas, para só depois atingir o cliente final)",11-50 funcionários,Seed (Investimento total de 400 mil a 2 milhões de reais),Sim,https://www.linkedin.com/company/thronus-medical/,,,, 
Manuel VAIoT,Plataforma de IoT para acompanhamento de biossinais de idosos e doentes cronicos,Startup,Saúde,"Deep Learning, IOT (Internet das Coisas), Machine Learning",Ideação (Fase de concepção da ideia até consolidação do Mínimo Produto Viável - MVP para um nicho de mercado específico),Executores Diretos das Missões,0,1,0,0,0,0,M2 Saude,Sim,Sim,Itajubá,MG,https://i.postimg.cc/852LV2HM/Marca-Manuel.png,https://www.manuelvaiot.com/,andre.almeida@manuelvaiot.com,Seed (Investimento total de 400 mil a 2 milhões de reais), , , , , , , , , Eretz.Bio,"SaaS (Disponibiliza softwares e soluções de tecnologia como um serviço, por meio de soluções hospodadas em nuvem)",B2B (empresa para empresa),2-10 funcionários,Pré-Seed (Investimento total de 100 mil a 400 mil reais),Sim,https://www.linkedin.com/company/manuel-vaiot/,,,, 
GeoTI,"Desde 2009, a GEOTI alia ética e inovação para transformar desafios em soluções 
tecnológicas. Com compromisso e princípios sólidos, oferecemos tecnologias que 
otimizam operações e garantem resultados de ponta aos nossos parceiros.",Empresa de Base Tecnológica (EBT),"Gestão de negócios, Tecnologia da informação",Big Data,"Tração (Início da consolidação e repetição de processos para áreas da EBT, como vendas, marketing, recursos humanos, sucesso do cliente etc)",Executores Diretos das Missões,1,0,1,1,1,0,"M1 Agro, M3 Infra Mobilidade, M4 Transformacao Digital, M5 Bioeconomia Energia",Sim,Sim,Contagem,MG,https://i.postimg.cc/QNymPg57/Logo-Geoti.png,https://www.geoti.com.br/,geotimkt@gmail.com,Pré-Seed (Investimento total de 100 mil a 400 mil reais), , , , , , , , ,Nenhum,"Enterprise (vende serviços ou software para outras empresas com base em uma licença única, regulados por contratos vigentes)",B2B (empresa para empresa),2-10 funcionários,Recurso próprio ou bootstrap (Investimento total de até 100 mil reais),Sim,https://www.linkedin.com/company/geoti---aplica%C3%A7%C3%B5es-e-tecnologia/,,,, 
Wabtec Brasil Fabricação e Manutenção de Equipamentos LTDA,"A Wabtec é a principal empresa de tecnologia ferroviária do mundo, liderando o caminho na criação de uma rede de transporte de carga e passageiros mais sustentável e com atuação destacada também nos setores de mineração e industrial. Seus valores são baseados em segurança, inovação para clientes, excelência operacional e trabalho em equipe.

Nos últimos anos, a Wabtec alcançou os seguintes resultados principais:
•	Expansão global, com operações em mais de 50 países e uma equipe de mais de 27.000 funcionários.
•	Liderança em soluções inovadoras para os setores ferroviário de carga e trânsito, incluindo tecnologias verdes, soluções digitais e serviços avançados.
•	Reconhecimento por suas práticas de inclusão e acessibilidade, com altos escores no Índice de Igualdade de Deficiência.
•	Expansão de suas capacidades de serviços de locomotivas
Em resumo, a Wabtec está liderando o caminho na transformação do transporte ferroviário, da mineração e do setor industrial, com foco em segurança, inovação, excelência operacional e sustentabilidade.
",Média e Grande Empresa,"Mineração e Metalurgia, Transporte e Automotivo",,,Executores Diretos das Missões,0,0,0,1,1,0,"M4 Transformacao Digital, M5 Bioeconomia Energia",Sim,Sim,Contagem,MG,https://i.postimg.cc/667XJpy9/Wabtec-Corporation.jpg,https://www.wabteccorp.com,joaopedro.azevedo@wabtec.com, , , , , , , , , ,"Centro de Engenharia: 1º Centro de Eng. LatAm da Wabtec, 3º maior do mundo. 300+ novos empregos de alta qualificação. O centro investirá em capacitação e equipamentos de ponta para desenvolver o futuro do transporte para Brasil e Mundo

EVO (Centro de manutenção e célula de testes de motores): 1º Centro LatAm de reparo e testes de Motores Diesel de alta eficiência (EVO). Motores EVO reduzem em até 7% a emissão de CO2. Projeto de economia circular capaz de incrementar a vida últil de motores por mais 10 anos. Desenvolvimento em MG de tecnologias acessíveis somente nos EUA e Europa e geração de +50 novos empregos.

EH44Aci (Locomotiva Híbrida) primeiro sistema de propulsão híbrido para locomotivas de heavy-haul de bitola larga  do mundo. Redução de até 20% de emissões de CO2 (7Mton CO2/ano). Projeto de economia circular que permite modernização da base instalada no Brasil.

FLX Drive: A FLXdrive é uma locomotiva elétrica a bateria desenvolvida pela Wabtec, sendo a primeira do seu tipo no segmento de transporte ferroviário pesado. Ela é projetada para substituir as locomotivas a diesel convencionais, oferecendo capacidades de tração semelhantes, mas com a vantagem de ser 100% elétrica e proporcionar maior flexibilidade operacional.
",,,,,Não,,,,, 
AgroDelTa,"Somos uma startup para analise de solo em tempo real! Levantamos os os dados químicos completos de um solo a produzir qualquer cultura, com alta tecnologia e acompanhamento também em tempo real para todos envolvidos nas cadeias de correção, produção e resultado final para o agronegócio. Estamos na fase de desenvolvimento do sensor para leitura dos elementos por espectrometria.  ",Startup,Agronegócio,IOT (Internet das Coisas),Ideação (Fase de concepção da ideia até consolidação do Mínimo Produto Viável - MVP para um nicho de mercado específico),Executores Diretos das Missões,1,0,0,0,1,0,"M1 Agro, M5 Bioeconomia Energia",Sim,Sim,Santa Rita do Sapucaí,MG,https://i.postimg.cc/bvzPFnyf/1-COLORIDO.png,https://www.instagram.com/agrodelta3?igsh=MTVtanQ2b2locGU3Yw%3D%3D&utm_source=qr,agrodelta03@gmail.com,Pré-Seed (Investimento total de 100 mil a 400 mil reais), , , , , , , , ,Nenhum,Somos Hardware e SaaS ,"B2B (empresa para empresa), B2C (empresa para consumidor)",2-10 funcionários,Recurso próprio ou bootstrap (Investimento total de até 100 mil reais),Sim,https://www.linkedin.com/feed/?trk=guest_homepage-basic_google-one-tap-submit,,,, 
CEMSA - GESTÃO DE FADIGA,A CEMSA é uma empresa especializada na detecção e predição de fadiga do trabalhador desde o início da jornada de trabalho com um simples exames. ,Startup,"Gestão de riscos, Indústria 4.0, Recursos Humanos",Big Data,"Escala (Nesta fase a startup possui taxas de crescimento elevadas, já possui processos mais estruturados e busca se expandir para novas praças, como públicos, localidades, segmentos, etc)",Executores Diretos das Missões,0,1,0,0,0,0,M2 Saude,Sim,Sim,Belo Horizonte,MG,https://i.postimg.cc/6q75J3jG/cropped-logo.png,https://www.cemsa.com.br,lucas.sassaki@cemsa.com.br,Pré-Seed (Investimento total de 100 mil a 400 mil reais), , , , , , , , ,FIEMG LAB,"SaaS (Disponibiliza softwares e soluções de tecnologia como um serviço, por meio de soluções hospodadas em nuvem)",B2B (empresa para empresa),2-10 funcionários,Recurso próprio ou bootstrap (Investimento total de até 100 mil reais),Sim,https://www.linkedin.com/company/25015308,,,, 
Apsis Informática LTDA ,"Somos uma empresa especializada no desenvolvimento de software próprio, com foco na área da saúde. Contamos com uma base de clientes consolidada, sendo a Copass Saúde nosso maior parceiro.",Empresa de Base Tecnológica (EBT),"Saúde, Tecnologia da informação","Blockchain, IOT (Internet das Coisas)","Escala (Nesta fase a EBT possui taxas de crescimento elevadas, já possui processos mais estruturados e busca se expandir para novas praças, como públicos, localidades, segmentos, etc)",Executores Diretos das Missões,0,1,0,1,0,0,"M2 Saude, M4 Transformacao Digital",Sim,Sim,Belo Horizonte,MG,https://i.postimg.cc/nzqGYyq9/2024-02-06.png,https://www.apsisinfo.com.br,financeiro@apsisinfo.com.br,Pré-Seed (Investimento total de 100 mil a 400 mil reais), , , , , , , , ,Nenhum,"Baseado em uso (precificação do serviço é baseada no uso de um cliente durante um determinado período, denominado pelo que é o serviço da empresa (ex:, valor por uso de API, etc))",B2B (empresa para empresa),2-10 funcionários,Recurso próprio ou bootstrap (Investimento total de até 100 mil reais),Sim,https://www.linkedin.com/company/apsis-info/mycompany/,,,, 
IConnectPet,"Empresa de telemetria animal que oferece informações qualificadas e personalizadas de acordo com o cenário da empresa, apoiamos o monitoramento e gatilhos de prevenção da qualidade de vida e bem estar animal. Nossos foco é em empresas de escola pet a criadores de animais de grande porte e valor agregado, empresas que trabalham com animais oficiais, resgate, segurança patrimonial.",Startup,"Agronegócio, Gestão de negócios, Governo, Pets","Big Data, IOT (Internet das Coisas)","Operação (Fase em que a startup atua de forma a consolidar um número considerável de primeiros clientes, mas ainda sem processos definidos)",Executores Diretos das Missões,1,0,0,1,0,0,"M1 Agro, M4 Transformacao Digital",Sim,Sim,Belo Horizonte,MG,https://i.postimg.cc/8cCHHW6T/iconnectpet-logo-icon.png,https://iconnect.pet/,anne@iconnect.pet,Pré-Seed (Investimento total de 100 mil a 400 mil reais), , , , , , , , ,Nenhum,B2B2C Data as a product,"B2B2C (empresa para empresa para o consumidor - quando há primeiramente uma relação de venda entre empresas, para só depois atingir o cliente final)",2-10 funcionários,Recurso próprio ou bootstrap (Investimento total de até 100 mil reais),Sim,https://www.linkedin.com/company/iconnectpet,,,, 
Anydocs,"A Anydocs é uma startup de tecnologia com o propósito de levar a Inteligência Artificial (IA) aos negócios. Nosso foco é resolver os desafios enfrentados pelas empresas como eficiência, agilidade, experiência do cliente e custos operacionais. Como diferencial, proporcionamos uma plataforma flexível na leitura e análise de qualquer tipo de informação, rápida pelo uso de tecnologias avançadas e segura no compromisso com a proteção dos dados e ética.
Nossos produtos são:
Leitura e Análise de Documentos
Oferecemos uma solução de IA Generativa que realiza a extração e análise das informações de qualquer padrão de documento de forma rápida e precisa.
Análise de Imagens
É possível analisar imagens de forma inteligente, identificando padrões, objetos e informações descritivas. 
Análise de Áudio e Vídeo
Utiliza tecnologias avançadas para transcrever, analisar e extrair insights valiosos. Facilitando a compreensão e a utilização das informações para o seu negócio.
Pesquisa com Informações Atualizadas
Mantenha-se à frente com informações sempre atualizadas em tempo real.

Principais resultados:
Redução de custo
Redução do tempo do processo
Melhoria na experiência do cliente",Startup,"Agronegócio, Alimentos, Automóveis, Educação, Energia, Finanças, Governo, Imóveis, Indústria 4.0, Logística, Recursos Humanos, Saúde, Seguros, Tecnologia da informação, Varejo, Vendas","IA Generativa, LLM, cloud native","Tração (Início da consolidação e repetição de processos para áreas da startup, como vendas, marketing, recursos humanos, sucesso do cliente etc)",Executores Diretos das Missões,0,0,0,1,0,0,M4 Transformacao Digital,Sim,Sim,Uberlândia,MG,https://i.postimg.cc/BnN5V08S/ANYDOCS-Logotipo-completo-PRETO.png,https://www.anydocsai.com.br/,ariel.lorencini@anydocsai.com.br, , , , , , , , , ,InovAtiva,"Baseado em uso (precificação do serviço é baseada no uso de um cliente durante um determinado período, denominado pelo que é o serviço da empresa (ex:, valor por uso de API, etc))","B2B (empresa para empresa), B2G (empresa para a administração pública)",2-10 funcionários,Recurso próprio ou bootstrap (Investimento total de até 100 mil reais),Não,https://www.linkedin.com/company/anydocs-ai,,,, 
Ecolaborativa/Takwara Tech,"A Takwara Tech aborda o problema predominante das espécies invasoras de bambu no Brasil, aproveitando-as como material bruto para construção. Através de um método de tratamento inovador, estas plantas ganham uma nova utilidade.

O processo centra-se num “Forno Verde” que utiliza vapor saturado da queima de biomassa de bambu para alterar as propriedades dos colmos frescos. Este ciclo fechado (biomassa > energia > fumaça > ácido pirolenhoso) confere durabilidade e resistência à fungos e insetos, ao mesmo tempo que maximiza a sustentabilidade.

Varas de bambu curadas desta forma apresentam resistência e trabalhabilidade superiores. Eles são então montados em estruturas usando novas conexões mecânicas à base de adesivos vegetais. Fios de aço flexíveis revestidos com poliuretano derivado de óleo de mamona formam juntas rígidas sem fixadores metálicos, colas ou parafusos.

Tanto o tratamento térmico quanto o ligante orgânico foram desenvolvidos e testados no Brasil, mas negligenciados durante anos em áreas importantes para a saúde.  A Takwara Tech resgata essas inovações brasileiras para criar soluções construtivas modernas e ecologicamente corretas

Um importante parceiro de pesquisa é a Imperveg Polímeros Vegetais, empresa brasileira que inova na produção de poliuretano vegetal desde 2008.

A Imperveg é especializada no desenvolvimento de resinas e espumas impermeabilizantes renováveis utilizando óleo de mamona em substituição aos polióis tradicionais.

Seu processo de síntese patenteado é único na eliminação de todos os vestígios de endurecedores de isocianato, conferindo não toxicidade.

![Untitled](https://prod-files-secure.s3.us-west-2.amazonaws.com/8debbad1-85e4-48b0-aa5d-47e89651a860/ab86429d-db3d-463b-b630-a69bc757d60f/Untitled.png)

As soluções adesivas e impermeabilizantes derivadas de vegetais atendem especificamente aos requisitos indicados pelo popular pesquisador Takwara para o tratamento de bambu.

Esta colaboração entre a inovação de base e a experiência em biotecnologia industrial representa um modelo de cocriação sustentável.

No geral, a Takwara Tech promove uma economia verde circular que restaura terras degradadas, capacita as pessoas e segue princípios de design ecológico.

Com a validação científica do CEFET-MG, pode fazer progressos substanciais na construção e habitação renovável no Brasil e no exterior.",Startup,"Cidades inteligentes, Construção, Gestão de resíduos, Negócios sociais, Sustentabilidade",Nenhuma,Ideação (Fase de concepção da ideia até consolidação do Mínimo Produto Viável - MVP para um nicho de mercado específico),Executores Diretos das Missões,1,0,1,0,1,0,"M1 Agro, M3 Infra Mobilidade, M5 Bioeconomia Energia",Sim,Sim,Conceição do Rio Verde,MG,https://i.postimg.cc/G2hTKxRg/Logo-Takwara.jpg,https://www.facebook.com/poliuretanovegetal,fabiotakwara@gmail.com,Pré-Seed (Investimento total de 100 mil a 400 mil reais), , , , , , , , ,Nenhum,"o modelo de negócios da Takwara Tech é focado em inovação, sustentabilidade e transformação da indústria da construção civil através do uso inteligente do bambu. Com parcerias estratégicas, expertise técnica e uma proposta de valor diferenciada, a empresa busca se posicionar como referência em soluções construtivas eco-friendly e de alto desempenho.",B2G (empresa para a administração pública),2-10 funcionários,Recurso próprio ou bootstrap (Investimento total de até 100 mil reais),Sim,https://www.linkedin.com/in/fabiotakwara/,,,, 
